episode,timestep,reward
22,2000,-59.5453
44,4000,-62.7544
73,6000,-43.404
96,8000,-55.5636
129,10000,-36.8086
163,12000,-35.3352
196,14000,-33.1169
223,16000,-45.1863
256,18000,-34.5379
290,20000,-31.7343
324,22000,-31.8298
360,24000,-29.161
398,26000,-23.585
436,28000,-24.2651
478,30000,-21.6626
516,32000,-25.8963
558,34000,-20.4196
599,36000,-22.1006
640,38000,-22.5072
685,40000,-19.4861
729,42000,-18.1487
776,44000,-17.6329
821,46000,-17.3156
865,48000,-18.2247
910,50000,-17.1101
956,52000,-18.0143
1004,54000,-16.9374
1049,56000,-18.3442
1098,58000,-16.3306
1144,60000,-16.805
1185,62000,-18.2296
1234,64000,-17.2285
1278,66000,-18.2941
1323,68000,-17.1402
1365,70000,-18.1353
1410,72000,-17.553
1458,74000,-16.1908
1501,76000,-17.3228
1550,78000,-15.7434
1596,80000,-15.7376
1646,82000,-14.9062
1694,84000,-14.8412
1741,86000,-15.3197
1789,88000,-15.104
1840,90000,-13.7996
1889,92000,-14.7237
1939,94000,-16.1209
1987,96000,-14.2844
2036,98000,-16.4763
2084,100000,-15.3281
