episode,timestep,reward
9,2000,-14.7538
17,4000,-25.9788
25,6000,-36.0079
31,8000,7.7751
39,10000,-17.2972
48,12000,2.3958
56,14000,3.4709
65,16000,1.8994
74,18000,-17.6642
81,20000,-18.9631
90,22000,-8.6636
99,24000,-3.6678
111,26000,0.6228
121,28000,-22.0594
130,30000,13.8094
140,32000,-0.4346
150,34000,23.6369
159,36000,17.7704
168,38000,15.7082
178,40000,34.5409
189,42000,27.0156
197,44000,66.0228
204,46000,29.7054
214,48000,32.7768
222,50000,61.1592
229,52000,29.7009
239,54000,33.2756
250,56000,11.9931
259,58000,23.0844
266,60000,63.9032
274,62000,97.7576
283,64000,45.9995
291,66000,81.1222
302,68000,15.7321
309,70000,80.6406
319,72000,22.7512
328,74000,40.6657
338,76000,41.4256
347,78000,28.127
356,80000,47.4984
366,82000,41.3987
377,84000,25.2926
385,86000,56.9243
395,88000,16.2227
406,90000,8.3883
415,92000,51.9895
424,94000,44.8694
431,96000,82.425
438,98000,79.7533
446,100000,39.3819
