episode,timestep,reward
12,2000,-79.7329
24,4000,-120.2352
38,6000,-75.9536
51,8000,-72.6836
67,10000,-55.5184
83,12000,-61.243
99,14000,-62.3755
118,16000,-42.3007
136,18000,-46.8497
157,20000,-41.7818
176,22000,-39.5467
201,24000,-31.7916
228,26000,-29.7504
258,28000,-24.0649
285,30000,-21.7521
311,32000,-29.5839
341,34000,-20.6257
369,36000,-19.3254
400,38000,-16.6811
430,40000,-21.5622
464,42000,-17.5546
496,44000,-13.6602
527,46000,-17.6617
555,48000,-19.0176
585,50000,-14.3141
614,52000,-9.9904
648,54000,-14.3039
679,56000,-15.7333
712,58000,-15.5928
747,60000,-13.1795
779,62000,-9.6729
813,64000,-11.4771
849,66000,-8.6474
880,68000,-8.6437
919,70000,-11.034
952,72000,-11.343
981,74000,-9.3971
1010,76000,-7.2387
1044,78000,-8.9572
1080,80000,-7.5652
1115,82000,-9.5456
1151,84000,-8.6372
1186,86000,-7.1136
1217,88000,-4.4807
1250,90000,-9.7488
1286,92000,-7.8443
1322,94000,-7.7584
1356,96000,-10.4461
1392,98000,-10.3527
1429,100000,-8.7198
