episode,timestep,reward
8,2000,-219.5971
16,4000,-211.9021
26,6000,-164.6707
38,8000,-147.9191
52,10000,-117.5748
66,12000,-108.6727
82,14000,-107.0039
96,16000,-94.3593
110,18000,-73.6852
126,20000,-78.8844
142,22000,-70.3443
157,24000,-63.2578
171,26000,-37.821
184,28000,-43.9037
198,30000,-23.766
212,32000,-30.6844
220,34000,-1.687
231,36000,20.4342
241,38000,6.2961
251,40000,-5.9777
258,42000,63.8573
267,44000,39.3839
275,46000,73.7745
282,48000,69.3316
289,50000,85.5079
296,52000,67.846
302,54000,112.1894
311,56000,84.6867
315,58000,251.4631
320,60000,204.9667
326,62000,154.6094
332,64000,177.8307
339,66000,159.4373
344,68000,265.9474
348,70000,327.7032
352,72000,351.1919
356,74000,249.6304
361,76000,275.2084
366,78000,304.6345
370,80000,267.0651
375,82000,299.4427
379,84000,352.5668
383,86000,284.6939
389,88000,242.7755
393,90000,352.8882
398,92000,247.9908
402,94000,347.1979
406,96000,349.4581
410,98000,291.3951
414,100000,350.0225
