episode,timestep,reward
10,2000,-177.7565
21,4000,-160.1257
34,6000,-134.2786
47,8000,-139.3213
64,10000,-102.986
82,12000,-95.3304
101,14000,-81.0412
120,16000,-85.4883
141,18000,-70.6419
162,20000,-62.7015
185,22000,-58.1556
207,24000,-59.3371
232,26000,-45.2447
256,28000,-46.3512
282,30000,-36.4457
307,32000,-35.6344
334,34000,-30.3931
361,36000,-30.2673
389,38000,-26.0579
416,40000,-26.5732
445,42000,-19.6975
474,44000,-20.0256
503,46000,-17.8065
532,48000,-18.6292
561,50000,-15.5782
591,52000,-15.8403
621,54000,-15.1974
651,56000,-13.3205
681,58000,-15.2509
711,60000,-12.5064
742,62000,-14.2452
772,64000,-15.6971
803,66000,-12.3804
833,68000,-13.3251
864,70000,-12.9148
894,72000,-12.8245
925,74000,-13.5473
956,76000,-9.8689
987,78000,-13.2253
1018,80000,-10.4238
1049,82000,-11.1844
1080,84000,-9.2537
1111,86000,-10.6108
1142,88000,-10.0496
1172,90000,-8.9616
1203,92000,-10.3393
1234,94000,-10.5311
1264,96000,-13.4326
1295,98000,-10.5533
1326,100000,-9.2194
